# P	count	tag	form
0.01	16	PART	было
1.00	83	VERB	решить
1.00	2	ADJ	нижестоящих
1.00	5	NOUN	инстанциях
1.00	10424	PART	не
0.00	10	VERB	не
1.00	2	VERB	затрудняя
1.00	27	PROPN	Семена
1.00	10	PROPN	Еремеевича
1.00	528	ADV	Однако
1.00	19	NOUN	стиль
1.00	308	NOUN	работы
1.00	4	VERB	заключался
0.69	728	PRON	том
0.31	323	DET	том
0.00	3	NOUN	том
1.00	964	SCONJ	чтобы
1.00	41	VERB	принимать
0.79	408	DET	всех
0.21	111	PRON	всех
1.00	9	VERB	желающих
1.00	54	ADV	лично
1.00	3	VERB	вникать
1.00	323	NOUN	дело
1.00	2	NOUN	Приемная
0.91	678	AUX	была
0.09	66	VERB	была
1.00	1	VERB	обставлена
0.03	15	ADV	просто
0.93	486	PART	просто
0.04	19	ADJ	просто
1.00	1877	CCONJ	но
1.00	1	ADV	по-деловому
0.99	362	ADP	У
0.01	2	PROPN	У
1.00	35	NOUN	двери
1.00	43	VERB	стоял
1.00	41	NOUN	стол
1.00	1	NOUN	секретарши
1.00	23	NOUN	столе
1.00	1	VERB	пишущая
1.00	4	NOUN	машинка
1.00	19	ADJ	широкой
1.00	1	NOUN	кареткой
1.00	20	NOUN	углу
1.00	2	VERB	висел
1.00	1	NOUN	репродуктор
1.00	3	VERB	играло
1.00	27	NOUN	радио
1.00	2691	ADP	для
1.00	4	NOUN	развлечения
1.00	2	VERB	ожидающих
1.00	1254	ADV	еще
0.86	793	PRON	того
0.14	131	DET	того
1.00	1	VERB	заглушать
1.00	41	NOUN	голос
1.00	26	NOUN	начальника
1.00	2	VERB	доносившийся
1.00	3058	ADP	из
1.00	14	NOUN	кабинета
1.00	1477	ADV	так
0.00	1	SCONJ	так
0.00	4	PART	так
0.80	2767	SCONJ	как
0.20	672	ADV	как
1.00	9	ADV	бесспорно
1.00	187	ADP	среди
1.00	10	NOUN	посетителей
1.00	172	VERB	могли
1.00	20	VERB	находиться
1.00	5	ADJ	случайные
1.00	404	NOUN	люди
1.00	4	NOUN	Кабинет
1.00	10	VERB	отличался
1.00	1	NOUN	скромностью
1.00	4	ADJ	присущей
1.00	2	PROPN	Семену
1.00	1	PROPN	Еремеевичу
1.00	16	NOUN	глубине
1.00	18	ADJ	широкий
1.00	4	ADJ	письменный
1.00	2	ADJ	бронзовыми
1.00	1	NOUN	чернильницами
1.00	286	ADP	перед
1.00	231	PRON	ним
1.00	407	NUM	два
1.00	2	ADJ	кожаных
1.00	13	NOUN	кресла
1.00	3	ADV	Справа
1.00	5	NOUN	заседаний
1.00	12	ADJ	длинный
1.00	1	VERB	накрытый
1.00	3	ADJ	зеленым
1.00	1	NOUN	сукном
1.00	11	NUM	обеих
1.00	43	NOUN	сторон
1.00	14	ADV	аккуратно
1.00	1	VERB	заставленный
1.00	1	NOUN	стульями
1.00	816	ADV	очень
1.00	28	VERB	любил
0.83	809	SCONJ	когда
0.17	166	ADV	когда
1.00	527	DET	этот
1.00	12	PRON	кто-нибудь
1.00	3	VERB	садился
1.00	1016	SCONJ	если
1.00	81	VERB	видел
1.00	1	VERB	отодвинутый
1.00	9	NOUN	стул
0.44	917	SCONJ	то
0.37	772	PRON	то
0.09	180	PART	то
0.11	224	DET	то
1.00	6	ADV	собственноручно
1.00	1	VERB	подвигал
1.00	239	NOUN	место
1.00	1	NOUN	спинки
1.00	3	VERB	образовывали
1.00	1	ADJ	ровную
1.00	9	ADJ	прямую
1.00	17	NOUN	линию
1.00	279	DET	тот
1.00	254	NOUN	день
1.00	243	PRON	которого
1.00	60	VERB	начинается
1.00	124	DET	наш
1.00	12	NOUN	рассказ
1.00	264	NOUN	жизнь
1.00	2	VERB	протекала
1.00	126	ADV	обычно
1.00	1	NOUN	Секретарша
1.00	4	VERB	ставила
1.00	1	ADJ	сургучные
1.00	34	NOUN	печати
1.00	14	NOUN	пакет
1.00	355	DET	своей
1.00	37	NOUN	очереди
1.00	1	ADJ	сентиментальный
1.00	2	NOUN	вальс
1.00	4	ADV	Ровно
1.00	74	NUM	десять
1.00	105	NOUN	часов
1.00	6	VERB	раздался
1.00	27	ADJ	короткий
1.00	17	NOUN	звонок
1.00	2	ADJ	Быстрая
1.00	2	NOUN	секретарша
1.00	30	NOUN	минуту
1.00	2	VERB	скрылась
1.00	20	NOUN	кабинете
1.00	2	VERB	проговорила
1.00	5	VERB	вернувшись
1.00	3590	PUNCT	:
1.00	10	NOUN	Товарищ
1.00	29	PROPN	Ефимова
1.00	13	ADV	пожалуйста
1.00	4	ADJ	Молодая
1.00	49	NOUN	женщина
1.00	2	ADJ	кокетливой
1.00	3	NOUN	шляпке
1.00	32	VERB	прошла
1.00	33	NOUN	кабинет
1.00	229	PRON	Она
0.98	49	ADV	видимо
0.02	1	ADJ	видимо
1.00	1	VERB	волновалась
1.00	412	ADV	потому
0.83	6209	SCONJ	что
0.17	1254	PRON	что
0.00	1	NOUN	что
1.00	5	VERB	забыла
1.00	23	VERB	закрыть
1.00	216	PRON	собой
1.00	29	NUM	обе
1.00	1	VERB	обитые
1.00	21	ADJ	черной
1.00	1	NOUN	клеенкой
1.00	61	ADV	медленно
1.00	1	VERB	склонив
1.00	4306	ADP	по
1.00	2	NOUN	привычке
1.00	61	NOUN	голову
1.00	4	ADV	набок
1.00	1	VERB	Садитесь
1.00	262	VERB	сказал
1.00	2201	PRON	он
1.00	1	VERB	поднимая
1.00	41	NOUN	глаз
0.21	6	VERB	села
0.79	22	NOUN	села
1.00	1	NOUN	краешек
1.00	5	ADJ	холодного
1.00	7	VERB	посмотрела
1.00	42	ADP	сквозь
1.00	3	ADJ	бронзовый
1.00	10	NOUN	забор
1.00	1	ADJ	чернильного
1.00	13	NOUN	прибора
1.00	423	PRON	него
1.00	27	ADJ	полное
1.00	1	ADJ	симпатичное
1.00	83	NOUN	лицо
1.00	1	ADJ	некурящего
1.00	394	NOUN	человека
1.00	12	ADJ	белые
0.99	191	ADV	совершенно
0.01	1	ADJ	совершенно
1.00	1	ADJ	седые
1.00	15	NOUN	волосы
0.65	181	PART	Да
0.35	98	CCONJ	Да
0.00	1	X	Да
1.00	1271	PRON	я
1.00	187	PRON	вас
1.00	3	VERB	слушаю
1.00	5	VERB	продолжая
1.00	37	VERB	писать
1.00	24	DET	Моя
1.00	13	NOUN	фамилия
0.87	20	ADV	тихо
0.13	3	ADJ	тихо
1.00	1	VERB	кашлянув
0.20	32	VERB	начала
0.80	132	NOUN	начала
1.00	162	ADV	давно
1.00	1	VERB	приготовленную
1.00	1	VERB	отредактированную
1.00	5	NOUN	уме
1.00	12	NOUN	фразу
1.00	631	PRON	Я
1.00	1794	ADP	у
1.00	62	NOUN	неделю
0.78	217	PRON	тому
0.21	59	DET	тому
0.00	1	NOUN	тому
1.00	259	ADV	назад
1.00	33	NOUN	вопросу
1.00	49	NOUN	устройства
1.00	112	PRON	Вы
1.00	29	VERB	взяли
1.00	14	DET	мою
1.00	3	NOUN	автобиографию
1.00	5	NOUN	анкету
1.00	27	VERB	предложили
1.00	448	PRON	мне
1.00	35	VERB	прийти
0.96	425	ADV	сегодня
0.04	18	NOUN	сегодня
1.00	627	PUNCT	…
1.00	11	ADV	молча
1.00	2	VERB	взглянула
0.55	63	PART	будто
0.45	51	SCONJ	будто
1.00	14	VERB	понимая
1.00	459	ADV	надо
0.00	2	ADP	надо
1.00	9	VERB	сесть
1.00	14	VERB	подождать
1.00	5	VERB	отозвался
1.00	1	NOUN	Начальнику
0.90	104	ADJ	трудно
0.10	11	ADV	трудно
1.00	2	VERB	переключить
1.00	148	NOUN	внимание
1.00	44	ADP	Перед
1.00	7	VERB	лежала
1.00	4	NOUN	копия
1.00	8	NOUN	жалобы
1.00	72	NOUN	жителей
1.00	3	ADJ	Веселого
1.00	2	ADJ	плохую
1.00	1	ADJ	трансляционной
1.00	47	NOUN	сети
1.00	1	NOUN	Жалоба
1.00	41	DET	каким-то
1.00	322	NOUN	образом
1.00	8	VERB	попала
1.00	70	PROPN	Москву
1.00	6	ADV	Оттуда
1.00	39	VERB	пришла
1.00	261	DET	эта
1.00	200	ADV	вместе
1.00	220	PRON	ней
1.00	13	NOUN	распоряжение
1.00	180	PRON	котором
1.00	6	VERB	предлагалось
1.00	45	ADV	немедленно
1.00	17	VERB	ликвидировать
1.00	1	NOUN	перебои
1.00	8	VERB	наказать
1.00	9	ADJ	виновных
1.00	2	VERB	доложить
1.00	466	ADP	об
1.00	11	NOUN	исполнении
1.00	3490	ADP	к
1.00	2	ADJ	такому-то
1.00	18	NOUN	числу
1.00	2544	PUNCT	(
1.00	10	NOUN	Число
0.10	311	DET	это
0.88	2635	PRON	это
0.01	33	PART	это
1.00	31	ADV	вчера
1.00	38	VERB	прошло
1.00	2554	PUNCT	)
1.00	2	NOUN	Распоряжение
1.00	31	VERB	написано
1.00	110	ADV	резко
1.00	3	VERB	содержало
1.00	1	ADJ	обидные
1.00	2	NOUN	намеки
1.00	10	ADJ	плохое
1.00	75	NOUN	руководство
1.00	840	ADP	На
1.00	233	DET	такие
1.00	30	NOUN	письма
1.00	47	NOUN	начальник
1.00	15	VERB	составлял
1.00	15	NOUN	ответы
1.00	241	ADJ	сам
1.00	126	ADJ	первую
1.00	190	NOUN	очередь
0.85	11	ADJ	положено
0.15	2	VERB	положено
1.00	4	VERB	вывел
1.00	4	ADJ	верхнем
1.00	3	NOUN	гриф
0.75	3	ADJ	секретно
0.25	1	ADV	секретно
1.00	64	ADV	Затем
1.00	20	VERB	написал
1.00	37	NOUN	летом
1.00	1	ADJ	трансляционная
1.00	32	NOUN	сеть
1.00	140	DET	некоторых
1.00	33	NOUN	районах
1.00	256	NOUN	области
1.00	22	VERB	работала
0.84	27	ADV	недостаточно
0.16	5	ADJ	недостаточно
1.00	37	ADV	четко
0.69	454	PRON	тем
0.10	66	SCONJ	тем
0.19	127	DET	тем
0.02	13	NOUN	тем
1.00	48	NOUN	линии
1.00	2	VERB	перегорали
1.00	3	NOUN	трансформаторы
0.99	1411	CCONJ	А
0.00	3	PART	А
0.01	11	PROPN	А
0.00	1	INTJ	А
0.00	3	NOUN	А
1.00	19	NOUN	лето
1.00	1	VERB	изобиловало
1.00	1	NOUN	грозами
1.00	1	ADV	Своевременно
1.00	5	VERB	исправлять
1.00	13	NOUN	повреждения
1.00	24	VERB	удавалось
1.00	5	NUM	трем
1.00	28	NOUN	причинам
1.00	27	ADV	во-первых
1.00	7	NOUN	заявка
1.00	103	NOUN	специалистов
1.00	1	VERB	посланная
1.00	6	NOUN	номером
1.00	3	ADJ	таким-то
1.00	2	VERB	удовлетворена
1.00	942	ADV	более
0.71	623	SCONJ	чем
0.29	258	PRON	чем
1.00	200	NOUN	процентов
1.00	2	ADJ	линейные
1.00	13	NOUN	кадры
1.00	1464	ADP	до
0.00	1	NOUN	до
1.00	137	DET	сих
1.00	206	NOUN	пор
1.00	3	VERB	укомплектованы
1.00	427	PUNCT	;
1.00	34	ADV	во-вторых
1.00	2	VERB	тормозили
1.00	11	ADJ	неблагоприятные
1.00	3	ADJ	метеорологические
1.00	95	NOUN	условия
1.00	8	ADV	в-третьих
1.00	5	VERB	повторил
0.14	71	ADV	несколько
0.86	438	NUM	несколько
1.00	1	VERB	раздражаясь
1.00	2545	ADP	от
1.00	12	ADJ	третья
1.00	34	NOUN	причина
1.00	1	VERB	улетучилась
1.00	46	NOUN	памяти
1.00	147	ADV	Конечно
0.62	647	PRON	этом
0.38	401	DET	этом
0.85	525	VERB	нет
0.15	95	PART	нет
0.95	336	PRON	ничего
0.04	14	ADV	ничего
0.01	2	PART	ничего
1.00	2	ADJ	удивительного
1.00	35	DET	каждому
1.00	520	PRON	кто
1.00	114	VERB	работает
1.00	1669	CCONJ	или
1.00	279	ADV	менее
1.00	3	ADJ	ответственной
1.00	28	NOUN	должности
0.83	60	ADJ	понятно
0.17	12	ADV	понятно
1.00	1	VERB	рассеивается
1.00	52	VERB	находятся
0.60	3	ADJ	посторонние
0.40	2	NOUN	посторонние
0.87	96	PART	Только
0.13	14	CCONJ	Только
1.00	1	PROPN	Юлий
1.00	2	PROPN	Цезарь
1.00	197	VERB	мог
1.00	103	ADV	одновременно
1.00	29	VERB	читать
1.00	629	ADP	без
1.00	1	NOUN	конспекта
1.00	5	VERB	произносить
1.00	64	NOUN	речи
1.00	1726	CCONJ	Но
0.00	2	PROPN	Но
1.00	1	ADJ	древнем
1.00	12	PROPN	Риме
1.00	57	NOUN	требования
1.00	336	ADV	тогда
0.91	889	AUX	были
0.09	87	VERB	были
0.00	1	NOUN	были
1.00	271	ADJ	другие
1.00	2	ADJ	назойливая
1.00	1047	_	_
1.00	17	ADP	насчет
1.00	22	PRON	Вам
1.00	122	VERB	придется
1.00	35	VERB	пройти
1.00	10	NOUN	отдел
1.00	48	NOUN	кадров
1.00	2	VERB	заполнить
0.94	17	ADV	мягко
0.06	1	ADJ	мягко
1.00	32	VERB	ответил
1.00	2	NOUN	автобиография
0.28	198	ADV	Как
0.72	506	SCONJ	Как
1.00	14	DET	ваша
1.00	2374	PUNCT	?
0.00	1	SYM	?
1.00	1	VERB	Порывшись
1.00	5	ADJ	нижнем
1.00	1	NOUN	ящике
1.00	25	NOUN	стола
1.00	3	VERB	вынул
1.00	1	NOUN	папку
1.00	5	NOUN	надписью
1.00	2	NOUN	Документы
1.00	6	PROPN	Ефимовой
1.00	164	ADV	действительно
1.00	27	VERB	находились
1.00	4	NOUN	анкете
1.00	30	VERB	сказано
1.00	20	PROPN	Евгения
1.00	46	PROPN	Васильевна
1.00	7	ADJ	женского
1.00	13	NOUN	пола
0.33	2	NOUN	русская
0.67	4	ADJ	русская
1.00	8	VERB	родилась
1.00	9	NUM	1922
1.00	750	NOUN	году
1.00	39	NOUN	семье
0.12	3	NOUN	рабочего
0.88	23	ADJ	рабочего
1.00	11	NUM	1940
1.00	7	VERB	поступила
1.00	1	ADJ	Ленинградский
1.00	39	NOUN	институт
1.00	4	VERB	окончила
1.00	3	NOUN	отличием
1.00	24	VERB	получила
1.00	8	NOUN	квалификацию
1.00	4	NOUN	инженера
1.00	2	NOUN	электрика
1.00	2	NOUN	радиосвязи
1.00	2	NOUN	Работники
1.00	359	DET	такой
1.00	26	NOUN	специальности
1.00	297	DET	нашей
0.00	1	ADJ	нашей
1.00	78	NOUN	системе
1.00	62	ADJ	нужны
1.00	2	ADV	позарез
1.00	264	VERB	стал
1.00	1	ADV	внимательнее
1.00	3	NOUN	автобиографии
1.00	1	VERB	уточнялось
1.00	22	NOUN	занятия
1.00	21	NOUN	институте
1.00	3	VERB	прервала
1.00	16	NOUN	войной
1.00	2	VERB	защитила
1.00	17	NOUN	диплом
1.00	6	NUM	1950
1.00	5	NUM	1952
1.00	845	PRON	она
1.00	23	VERB	вышла
1.00	11	ADV	замуж
1.00	6	NUM	1953
1.00	2	VERB	развелась
1.00	1	NOUN	Буквы
0.03	2	NOUN	д
0.97	77	ADV	д
1.00	1	ADJ	коротенькой
0.84	93	NUM	одну
0.16	18	DET	одну
1.00	1	NOUN	страничку
1.00	3	VERB	торчали
1.00	40	ADV	вверх
1.00	2	NOUN	хвостиками
1.00	1	VERB	Заметив
1.00	527	DET	эти
1.00	2	ADJ	смешные
1.00	1	NOUN	хвостики
1.00	19	VERB	вспомнил
1.00	117	ADV	недавно
1.00	8	VERB	держал
1.00	73	NOUN	руках
1.00	248	DET	эту
1.00	3	VERB	вспомнив
1.00	40	NOUN	документы
1.00	1	ADJ	робкой
1.00	1	ADJ	худенькой
1.00	71	NOUN	женщины
1.00	3	ADJ	неприятную
1.00	68	NOUN	историю
1.00	4	VERB	связанную
0.42	452	DET	ее
0.58	633	PRON	ее
1.00	33	NOUN	делом
1.00	2	VERB	Оторвавшись
1.00	16	NOUN	бумаг
1.00	4	VERB	взглянул
1.00	3	PROPN	Ефимову
1.00	1	NOUN	Губы
1.00	1	ADV	неумело
1.00	2	VERB	накрашены
1.00	48	ADV	специально
0.49	403	DET	этого
0.51	420	PRON	этого
1.00	15	NOUN	случая
1.00	186	DET	такое
1.00	1	NOUN	легкомыслие
0.99	302	ADV	конечно
0.01	2	ADJ	конечно
1.00	63	VERB	могло
1.00	9	VERB	произвести
1.00	2	ADJ	неблагоприятного
1.00	12	NOUN	впечатления
1.00	173	PART	Ну
1.00	75	NOUN	народ
1.00	412	PRON	меня
1.00	11	NOUN	отделе
1.00	29	VERB	подумал
1.00	2	VERB	Боятся
1.00	45	NOUN	ответственности
1.00	2	NOUN	черти
1.00	3	NOUN	ладана
1.00	2	NOUN	Сложность
1.00	46	NOUN	вопроса
1.00	12	VERB	заключалась
1.00	783	ADP	во
1.00	1087	NOUN	время
1.00	177	NOUN	войны
1.00	12	VERB	находилась
1.00	10	NOUN	оккупации
1.00	32	ADP	Из-за
1.00	13	NOUN	обстоятельства
1.00	4	VERB	перекочевали
1.00	1	ADJ	несгораемого
1.00	2	NOUN	шкафа
1.00	28	NOUN	отдела
1.00	5	ADJ	прошлую
1.00	79	NOUN	среду
1.00	23	VERB	попросил
1.00	10	VERB	зайти
1.00	471	ADP	через
1.00	203	ADP	После
1.00	30	NOUN	окончания
1.00	74	NOUN	института
1.00	997	NOUN	года
1.00	1	ADJ	линейным
1.00	7	NOUN	инженером
1.00	2	NOUN	радиоузле
1.00	5	PROPN	Савельева
1.00	1	VERB	уволилась
1.00	3	ADJ	семейным
1.00	5	NOUN	обстоятельствам
1.00	215	ADP	За
1.00	12	VERB	собирался
1.00	6	VERB	позвонить
1.00	5	PROPN	Савельеву
1.00	635	PRON	который
1.00	11	VERB	занимал
1.00	317	ADV	теперь
1.00	2036	PART	же
1.00	32	NOUN	пост
1.00	10	ADJ	соседней
1.00	31	VERB	узнать
1.00	2349	ADP	о
0.00	4	INTJ	о
0.00	1	NOUN	о
1.00	12	ADJ	деловых
1.00	3	NOUN	качествах
1.00	665	SCONJ	Если
1.00	8	PROPN	Савельев
1.00	1	VERB	похвалит
1.00	23	ADJ	чистой
1.00	9	NOUN	совестью
1.00	3	VERB	отказать
1.00	143	PRON	ей
1.00	9	VERB	покончить
0.58	117	DET	этим
0.42	85	PRON	этим
1.00	1	ADJ	щекотливым
1.00	29	NOUN	вопросом
1.00	1	VERB	загруженный
1.00	1	NOUN	текучкой
1.00	22	VERB	успел
1.00	233	VERB	сделать
1.00	627	PRON	Он
1.00	1	PROPN	Евгению
1.00	2	PROPN	Васильевну
1.00	3	NOUN	недельку
0.98	1563	PART	только
0.02	30	CCONJ	только
0.00	1	ADV	только
1.00	5	VERB	заказал
1.00	1	ADJ	междугородный
1.00	23	NOUN	разговор
0.25	1	ADV	несерьезно
0.75	3	ADJ	несерьезно
1.00	3	VERB	отнесся
1.00	6	ADJ	честный
1.00	3	ADJ	квалифицированный
1.00	7	NOUN	работник
1.00	22	VERB	выразил
1.00	23	NOUN	готовность
1.00	80	VERB	дать
1.00	6	NOUN	характеристику
1.00	136	VERB	кажется
1.00	60	PRON	тебе
1.00	31	VERB	спросил
1.00	1	ADJ	Слабовольная
1.00	24	DET	какая-то
1.00	1	ADJ	бесхарактерная
1.00	1	ADJ	Пугливая
1.00	72	VERB	казалось
1.00	720	ADP	По
1.00	186	NOUN	мнению
1.00	1	ADJ	настойчива
1.00	1	ADJ	требовательна
1.00	8	ADJ	бытовой
0.05	11	SCONJ	То
0.92	198	PRON	То
0.03	6	DET	То
0.00	1	PROPN	То
1.00	2	VERB	женится
1.00	1	VERB	разводится
1.00	1	ADV	Несерьезно
1.00	90	ADV	как-то
1.00	16	VERB	объяснил
1.00	3	NOUN	диктора
1.00	2	ADJ	районного
1.00	1	NOUN	радиоузла
1.00	4	NOUN	Муж
1.00	3	VERB	настоял
1.00	4	VERB	бросила
1.00	28	ADV	Вскоре
0.99	691	ADP	после
0.01	5	ADV	после
1.00	225	VERB	стало
1.00	150	ADJ	известно
1.00	57	ADV	где-то
1.00	19	NOUN	деревне
1.00	55	VERB	остались
1.00	47	NOUN	жена
1.00	26	NOUN	ребенок
0.98	1728	CCONJ	И
0.02	30	PART	И
0.00	2	PROPN	И
1.00	16	ADV	по-моему
0.75	49	ADV	правильно
0.25	16	ADJ	правильно
1.00	18	VERB	сделала
1.00	19	VERB	добавил
1.00	1422	ADV	уже
0.00	1	ADJ	уже
0.76	62	NUM	пол
0.24	20	NOUN	пол
0.94	850	PRON	Это
0.05	48	DET	Это
0.01	11	PART	Это
1.00	448	PART	вот
1.00	71	ADV	Надо
1.00	36	VERB	изучать
1.00	313	DET	своих
1.00	58	NOUN	работников
1.00	163	PRON	ты
1.00	7	VERB	бери
1.00	1103	PUNCT	!
1.00	10	VERB	закричал
1.00	480	PART	Не
1.00	1	VERB	пожалеешь
1.00	4	VERB	закончился
1.00	11	VERB	рассуждать
1.00	237	SCONJ	поскольку
1.00	8	VERB	прибыла
1.00	81	PRON	нему
1.00	6	NOUN	направлением
1.00	2	NOUN	главка
1.00	271	ADJ	должен
1.00	50	VERB	брать
1.00	358	DET	свою
1.00	6	ADJ	личную
1.00	54	NOUN	ответственность
1.00	12	ADV	Формально
1.00	4	NOUN	зачисления
1.00	14	NOUN	препятствий
1.00	10	VERB	взглянуть
1.00	290	NOUN	вопрос
1.00	2	ADV	поглубже
1.00	1	NOUN	анкета
1.00	121	PART	все-таки
1.00	7	ADJ	чистая
1.00	1	VERB	Возьмешь
0.99	306	ADV	потом
0.01	3	NOUN	потом
1.00	1	VERB	оберешься
1.00	4	NOUN	неприятностей
1.00	1	VERB	Приедет
1.00	367	ADV	например
1.00	2	NOUN	ревизия
1.00	2	VERB	поднимет
1.00	21	ADJ	личные
1.00	131	NOUN	дела
1.00	2	NOUN	неприятность
1.00	5	ADJ	техническом
0.84	406	NUM	один
0.16	79	DET	один
1.00	3	NOUN	дворян
1.00	3	NOUN	происхождению
1.00	310	ADJ	другой
1.00	54	NOUN	революции
1.00	19	NOUN	черт
1.00	96	VERB	знает
1.00	41	PRON	кем
1.00	135	ADV	чуть
1.00	653	PART	ли
1.00	1	NOUN	дьяконом
1.00	85	ADJ	общем
1.00	1	NOUN	масти
0.99	280	ADV	тут
0.01	2	NOUN	тут
0.00	1	X	тут
0.98	42	ADJ	Понятно
0.02	1	ADV	Понятно
1.00	18	VERB	скажут
1.00	157	ADV	почему
1.00	1	VERB	перегорают
1.00	1	VERB	Окружили
1.00	556	PRON	себя
1.00	1	ADJ	негодными
1.00	76	NOUN	людьми
1.00	1	VERB	притупилась
1.00	4	NOUN	бдительность
1.00	176	ADV	Еще
1.00	1	NOUN	ротозейство
1.00	1	VERB	пришьют
1.00	70	ADP	Через
1.00	111	ADV	опять
1.00	9	VERB	сидела
1.00	13	NOUN	положением
0.90	9	VERB	живу
0.10	1	ADJ	живу
1.00	6	NOUN	папой
1.00	5	NOUN	мамой
1.00	2	VERB	заговорила
1.00	2	ADJ	Кирпичной
1.00	70	NOUN	улице
1.00	79	NOUN	дом
1.00	431	ADV	там
0.00	1	PART	там
1.00	33	ADP	возле
1.00	2	ADJ	Первомайского
1.00	2	NOUN	садика
0.29	63	PART	да
0.71	156	CCONJ	да
0.01	2	ADP	да
1.00	33	ADJ	маленький
1.00	7	NOUN	домик
1.00	41	NUM	Два
1.00	6	ADJ	крайних
1.00	24	NOUN	окна
1.00	162	DET	наши
1.00	45	ADJ	остальные
1.00	16	NOUN	соседей
1.00	22	NOUN	Мама
1.00	1	ADJ	кирпичном
1.00	19	NOUN	заводе
1.00	27	NOUN	папа
1.00	249	ADV	совсем
1.00	3	ADJ	старенький
1.00	1	NOUN	Инвалид
1.00	10	VERB	Приходится
1.00	4	VERB	возить
1.00	2	NOUN	коляске
1.00	4	ADJ	ручная
1.00	2	NOUN	коляска
1.00	147	DET	такая
1.00	1	ADJ	легонькая
0.99	461	ADP	С
0.01	3	PROPN	С
1.00	3	NOUN	рычагами
1.00	2	ADJ	слабенький
1.00	8	NOUN	рычаги
1.00	1144	VERB	может
1.00	8	VERB	двигать
1.00	1478	PART	бы
1.00	442	PRON	ему
1.00	1	ADJ	моторную
1.00	1	VERB	заказать
1.00	23	DET	Наша
1.00	32	NOUN	промышленность
1.00	1	VERB	изготовляет
1.00	1	ADJ	моторные
1.00	1	VERB	Просили
1.00	74	VERB	дают
1.00	1	VERB	Требуют
1.00	16	ADJ	целую
1.00	4	NOUN	кучу
1.00	1	NOUN	справок
1.00	38	DET	Такая
1.00	8	NOUN	постановка
1.00	1	VERB	возмутила
1.00	11	DET	Какое
1.00	4	NOUN	безобразие
1.00	395	PRON	вы
0.00	1	X	вы
1.00	2	ADV	настойчивей
1.00	1	VERB	действуйте
1.00	1	VERB	Напишите
1.00	13	NOUN	газету
1.00	9	ADJ	крайнем
1.00	387	NOUN	случае
1.00	9	NOUN	Спасибо
1.00	20	VERB	знаете
0.78	203	PART	ведь
0.22	56	SCONJ	ведь
1.00	212	ADP	из-за
1.00	11	NOUN	папы
1.00	4	VERB	уехала
1.00	39	VERB	взял
0.85	60	ADV	Значит
0.15	11	VERB	Значит
1.00	3	NOUN	отъезд
0.97	32	VERB	можете
0.03	1	X	можете
1.00	155	ADJ	сами
1.00	12	VERB	понимаете
1.00	6	ADV	жаль
1.00	119	PRON	вам
1.00	4	VERB	подобрал
1.00	7	NOUN	периферии
1.00	37	ADV	Где
1.00	23	NOUN	селе
1.00	5	ADJ	Веселом
1.00	102	ADV	Там
1.00	2	ADJ	линейный
1.00	20	NOUN	инженер
1.00	43	ADJ	нужен
0.96	116	ADV	далеко
